FACID,FACNAME,CONTACT_PHONE_NUMBER,LATITUDE,LONGITUDE
30000118,DOCTORS HOSPITAL OF MANTECA,(209) 823-3111,37.801319,-121.198255
30000131,OAK VALLEY  HOSPITAL DISTRICT,(209) 847-3011,37.758048,-120.860367
30000134,SUTTER ROSEVILLE HOSPITAL,(916) 781-1000,38.764581,-121.248566
30000135,SAN JOAQUIN GENERAL HOSPITAL,(209) 468-6000,37.886468,-121.282105
30000139,LODI MEMORIAL HOSPITAL,(209) 334-3411,38.121897,-121.285822
30000141,SUTTER TRACY COMMUNITY HOSPITAL,(209) 835-1500,37.744234,-121.434906
30000143,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,(209) 943-2000,37.970821,-121.289207
30000151,"SUTTER MEDICAL CENTER, SACRAMENTO",(916) 454-2222,38.570371,-121.470002
30000266,GREATER SACRAMENTO SURGERY CENTER,(916) 929-7229,38.625887,-121.411777
30000288,TURLOCK NURSING AND REHABILITATION CENTER,(209) 632-7577,37.514646,-120.836545
30000292,"STEVENS KIM, MD/STEPHEN LIN, MD MEDICAL GROUP INC",(209) 952-1189,37.998311,-121.307441
30000321,EYE SURGERY CENTER OF NORTHERN CALIFORNIA,(916) 723-7400,38.681151,-121.325715
30000365,SONORA REGIONAL MEDICAL CENTER,(209) 532-3161,37.978903,-120.391364
30000383,BURGER PHYSICAL THERAPY & REHABILITATION,(916) 983-5915,38.668734,-121.150885
30000566,FORT SUTTER SURGERY CENTER,(916) 733-5017,38.572633,-121.469225
30000589,LINCOLN MEADOWS CARE CENTER,(916) 645-7761,38.889177,-121.304683
30000638,SAN JOAQUIN LASER AND SURGERY CENTER,(209) 948-3241,37.971137,-121.289371
30000680,SONORA EYE SURGERY CENTER,(209) 532-2020,37.987259,-120.368698
30000682,SACRAMENTO EYE SURGICENTER,(916) 444-7052,38.572341,-121.463687
30000689,LODI OUTPATIENT SURGICAL CENTER,(209) 333-0905,38.127945,-121.288285
30000726,SACRAMENTO MIDTOWN ENDOSCOPY CENTER,(916) 733-6940,38.569781,-121.453856
30000798,BRIGGSMORE SPECIALTY CENTER,(209) 521-6097,37.667489,-120.972176
30000852,BRANDEL MANOR,(209) 410-7200,37.510575,-120.839904
30000854,BRUCEVILLE TERRACE - D/P SNF OF METHODIST HOSPITAL,(916) 423-6000,38.460534,-121.417103
30000862,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,(209) 948-2100,37.976301,-121.2913
30000958,VIBRANTCARE  OUTPATIENT REHABILITATION OF CALIFORNIA INC.,(530) 889-2411,38.902978,-121.068408
30000973,KAISER FOUNDATION HOSPITAL MANTECA,(209) 825-3500,37.7974,-121.246067
30001003,CEDAR FAMILY PRACTICE,(209) 874-2345,37.639555,-120.760471
30001023,SUTTER AUBURN SURGERY CENTER,(530) 888-8899,38.941279,-121.100882
30001090,"SUTTER ALHAMBRA SURGERY CENTER, L.P.",(916) 733-8222,38.570255,-121.4663
30001114,FOREST ROAD HEALTH & WELLNESS CENTER,(209) 533-7255,37.979446,-120.392753
30001145,PATHWAY HEALTHCARE,(209) 848-8410,37.75951,-120.861335
30001202,CENTRAL VALLEY SPECIALTY HOSPITAL - SKILLED NURSING FACILITY,(209) 248-7700,37.643265,-120.990895
30001203,PLACER MEDICAL CLINIC - TAHOE,(530) 546-6356,39.236169,-120.021383
30001244,"KRISHNAMOORTHI M.D. INC., A PROFESSIONAL MEDICAL CORPORATION",(209) 874-2321,37.641426,-120.762225
30001254,KAISER FOUNDATION HOSPITAL MANTECA D/P SNF,(209) 825-3700,37.7974,-121.246067
30001260,"KRISHNAMOORTHI M.D. INC., A PROFESSIONAL MEDICAL CORPORATION",(209) 838-2278,37.796601,-121.001572
30001300,MATRIX REHABILITATION OF ORANGEVALE,(916) 722-3100,38.678521,-121.236198
30001329,"MODESTO SURGERY CENTER, INC.",(209) 526-3000,37.663592,-120.987627
30001364,"RIVERBANK PRIMARY CARE MEDICAL CLINIC, INC",(209) 869-0131,37.735063,-120.93652
30001403,"COMMUNITY MEDICAL CENTERS, KING",(209) 933-7232,37.959247,-121.250637
630012495,LAS POSAS FAMILY MEDICAL GROUP,,34.241369,-119.019317
30001510,GALT MEDICAL SERVICES,(209) 745-8080,38.252293,-121.296262
30001516,FAMILY MEDICAL CENTER - COPPEROPOLIS,(209) 785-7000,37.93763,-120.603659
30001517,DIVIDE WELLNESS CENTER,(530) 333-2548,38.9081,-120.8516
30001520,SUTTER MEDICAL FOUNDATION PLYMOUTH HEALTH CENTER,(209) 245-6968,38.47756,-120.850339
30001528,VIBRANTCARE OUTPATIENT REHABILITATION OF CALIFORNIA INC.,(209) 823-3736,37.797497,-121.203337
30001531,RIVERBANK COMMUNITY HEALTH CENTER,,37.732729,-120.949
30001532,OAKDALE COMMUNITY HEALTH CENTER,(209) 848-4180,37.758025,-120.862234
30001555,CERES MEDICAL OFFICE,(209) 541-4222,37.594756,-120.937666
30001556,TURLOCK MEDICAL OFFICE,(209) 664-8000,37.510453,-120.839306
30001557,MCHENRY MEDICAL OFFICE,(209) 558-5312,37.685727,-121.010486
30001558,FAMILY PRACTICE,(209) 558-7646,37.647187,-120.981105
30001559,SPECIALTY CLINIC (PEDIATRIC),(209) 558-7646,37.647187,-120.981105
30001567,HUGHSON MEDICAL OFFICE - RURAL HEALTH,(209) 558-4200,37.596077,-120.866606
30001632,ADVANCED PHYSICAL THERAPY-LINCOLN CENTER,(209) 478-3900,38.01145,-121.32345
30001643,VIBRANTCARE OUTPATIENT REHABILITATION OF CALIFORNIA INC.,(916) 393-0497,38.494822,-121.512021
30001657,COVENANT VILLAGE CARE CENTER,(209) 664-5300,37.512513,-120.839885
30001668,ACTIVE CARE PHYSICAL THERAPY,(916) 797-2273,38.761223,-121.310075
30001679,FAMILY MEDICAL CENTER - VALLEY SPRINGS,(209) 772-9538,38.168486,-120.838826
30001680,"PAIN DIAGNOSTIC & TREATMENT CENTER, L.P.",(916) 231-8755,38.573816,-121.46902
30001692,FAMILY MEDICAL CENTER - ARNOLD,(209) 795-4193,38.239363,-120.362748
30001693,FAMILY MEDICAL CENTER - ANGELS CAMP,(209) 736-0813,38.080006,-120.555411
30001767,AMBULATORY SURGERY CENTER OF STOCKTON,(209) 944-9100,37.975435,-121.290946
30001771,FOLSOM SURGERY CENTER,(916) 673-1990,38.671178,-121.145784
30001774,ROSEVILLE SURGERY CENTER,(916) 677-2488,38.761976,-121.249322
30001775,FOLSOM SIERRA ENDOSCOPY CENTER L.P.,(916) 983-7475,38.671457,-121.14514
30001776,PARADISE MEDICAL OFFICE,(209) 558-7163,37.626911,-121.013209
30001777,EL DORADO SURGERY CENTER,(530) 344-1687,38.706537,-120.82853
30001778,BARTON COMMUNITY HEALTH CENTER,(530) 543-5620,38.912367,-119.996385
30001784,SUTTER SIERRA SURGERY CENTER,(916) 677-5070,38.767429,-121.247303
30001785,PROCEDURE CENTER OF SOUTH SACRAMENTO,(916) 423-2124,38.461887,-121.41336
30001790,SAN JOAQUIN GENERAL HOSPITAL-ESRD,,37.882603,-121.281929
30001793,SUTTER AMADOR SURGERY CENTER,(209) 223-5938,38.342441,-120.763396
30001795,CAPITOL CITY SURGERY CENTER,(916) 925-2700,38.599012,-121.445752
30001801,"VALLEY SURGERY CENTER, LP",(209) 571-1633,37.696086,-120.975413
30001803,SUTTER ROSEVILLE ENDOSCOPY CENTER,(916) 773-8780,38.765781,-121.245819
30001804,DEL PUERTO HEALTH CENTER,(209) 892-9100,37.476016,-121.160681
30001807,ST. JOSEPH'S SURGERY CENTER,(209) 943-2000,37.969508,-121.287687
30001812,WOODLAND SKILLED NURSING FACILITY,(530) 662-9643,38.672252,-121.770737
30001815,COURTYARD HEALTH CARE CENTER,(530) 756-1800,38.553306,-121.728415
30001819,LA SALETTE HEALTH AND REHABILITATION CENTER,(209) 466-2066,37.984928,-121.29339
30001823,GOLDEN LIVING CENTER - PORTSIDE,(209) 466-3522,37.977301,-121.291714
30001825,LODI NURSING & REHABILITATION,(209) 334-3825,38.115938,-121.287998
30001827,SAINT CLAIRE'S NURSING CENTER,(916) 392-4440,38.492398,-121.431585
30001834,ESCALON COMMUNITY HEALTH CLINIC,,37.789713,-120.996417
40000010,PALM VILLAGE RETIREMENT COMMUNITY HEALTH CARE CTR.,(559) 638-6933,36.580645,-119.455622
40000012,RAINTREE CONVALESCENT HOSPITAL,(559) 251-8244,36.739557,-119.715706
40000013,"CALIFORNIA HOME FOR THE AGED, INC.",(559) 251-8414,36.736914,-119.669687
40000014,HORIZON HEALTH AND SUBACUTE CENTER,(559) 321-0883,36.837727,-119.735004
40000025,ALICE MANOR CONVALESCENT HOSPITAL,(559) 834-2519,36.63441,-119.637772
40000026,GOLDEN LIVING CENTER - COUNTRY VIEW ALZHEIMER'S CARE,(559) 275-4785,36.749098,-119.880301
40000033,GOLDEN LIVING CENTER - FOWLER,(559) 834-2542,36.627269,-119.673092
40000034,MADERA REHABILITATION & NURSING CENTER,(559) 673-9228,36.960481,-120.050872
40000036,"MANNING GARDENS CARE CENTER, INC.",(559) 834-2586,36.605317,-119.752627
40000037,SIERRA VISTA HEALTHCARE,(559) 237-8377,36.725591,-119.754641
40000039,"GRACE HOME, INC.",(209) 394-2440,37.375043,-120.730975
40000042,HACIENDA REHABILITATION & HEALTH CARE CENTER,(559) 582-9221,36.342666,-119.641999
40000046,MERCED NURSING & REHABILITATION CENTER,(209) 723-2911,37.310538,-120.478612
40000049,GOLDEN LIVING CENTER - HY-LOND,(559) 227-4063,36.779494,-119.767716
40000051,OAKWOOD GARDENS CARE CENTER,(559) 222-4807,36.779498,-119.765949
40000059,NORTHPOINTE HEALTHCARE CENTRE,(559) 320-2200,36.823109,-119.775082
40000060,SIERRA VIEW HOMES INC.,(559) 638-9226,36.596873,-119.436843
40000061,SUNNYSIDE CONVALESCENT HOSPITAL,(559) 233-6248,36.694871,-119.718308
40000063,PACIFIC GARDENS NURSING AND REHABILITATION CENTER,(559) 251-8463,36.736933,-119.71827
40000064,TWILIGHT HAVEN,(559) 251-8417,36.726086,-119.731942
40000067,GOLDEN LIVING CENTER - REEDLEY,(559) 638-3578,36.589698,-119.437673
40000069,VALLEY HEALTHCARE CENTER,(559) 251-7161,36.74316,-119.734635
40000076,THE TERRACES AT SAN JOAQUIN GARDENS VILLAGE,(559) 430-8202,36.818584,-119.781369
40000077,GOLDEN LIVING CENTER - SANGER,(559) 875-6501,36.703147,-119.572523
40000086,"HASSIBAH - TLC, INC.",(559) 252-3968,36.731496,-119.655075
40000110,MEMORIAL HOSPITAL LOS BANOS,(209) 826-0591,37.063461,-120.859427
40000111,MADERA COMMUNITY HOSPITAL,(559) 673-5101,36.94541,-120.045875
40000113,MERCY MEDICAL CENTER,(209) 564-5000,37.340119,-120.465248
40000124,ADVENTIST MEDICAL CENTER - REEDLEY,(559) 638-8155,36.607828,-119.451336
40000126,SAINT AGNES MEDICAL CENTER,(559) 450-3000,36.83612,-119.767659
40000157,"HEALTHY LIVING AT HOME - FRESNO, LLC",(559) 369-6473,36.945407,-120.045778
40000224,"LOYD'S LIBERTY HOMES, INC. - COLONIAL",(559) 438-9098,36.83225,-119.803757
40000254,FRESNO SURGICAL HOSPITAL,(559) 431-8000,36.825105,-119.781454
40000259,COMMUNITY BEHAVIORAL HEALTH CENTER,(559) 449-4417,36.84085,-119.756706
40000284,CASA FAIAL,(559) 435-6010,36.816604,-119.805333
40000304,VISION CARE SURGERY CENTER,(559) 486-2000,36.838911,-119.75909
40000305,VALLEY MEDICAL PLAZA AMBULATORY SURGICAL CENTER,(559) 432-4200,36.837571,-119.757098
40000307,CASA SAO JORGE,(559) 435-9096,36.818509,-119.799419
40000308,CASA FLAMENGOS,(559) 449-9226,36.818653,-119.759116
40000474,COMMUNITY SUBACUTE AND TRANSITIONAL CARE CENTER,(559) 459-1711,36.777732,-119.779352
40000531,BETHESDA LUTHERAN COMMUNITIES - FLORADORA,(559) 454-0934,36.761171,-119.724405
40000532,"LOYD'S LIBERTY HOMES, INC. - FELAND",(559) 439-4269,36.827211,-119.848995
40000534,CASA TERCEIRA,(559) 435-5288,36.832619,-119.796334
40000535,CASA PICO,(559) 439-1877,36.834128,-119.827103
40000539,WILSHIRE HOME HEALTH,(559) 582-9005,36.358098,-119.655053
40000579,"MAXIM HEALTHCARE SERVICES, INC.",(559) 224-9078,36.823898,-119.781446
40000580,"LDAC SURGERY CENTER, INC.",(559) 446-1065,36.825509,-119.783148
40000583,DAVIDSON ADULT HOME/BROOKDALE DRIVE,(209) 722-5204,37.322873,-120.456309
40000584,"LOYD'S LIBERTY HOMES, INC. - SAN JOSE STREET",(559) 451-0399,37.330373,-120.482938
40000586,PHYS MED,(559)438-4300,36.838062,-119.77234
40000588,HINDS HOSPICE HOME,(559) 222-0793,36.809277,-119.817761
40000605,"LOYD'S LIBERTY HOMES, INC. -  AUGUSTA",(209) 357-7477,37.346951,-120.578724
40000610,CAREMERIDIAN,(559) 431-8594,36.829519,-119.844516
40000613,SAN JOAQUIN VALLEY REHABILITATION HOSPITAL,(559) 436-3600,36.840617,-119.759943
40000617,DAVIDSON CHILDRENS HOME/MARIE LANE,(209) 722-7647,37.313314,-120.449423
40000641,BETHESDA LUTHERAN COMMUNITIES - FILBERT,(559)412-7032,36.793075,-119.67203
40000642,BETHESDA LUTHERAN COMMUNITIES - BROWNING,(559) 435-3537,36.819255,-119.81046
40000643,BETHESDA LUTHERAN COMMUNITIES - ASHCROFT,(559) 322-9183,36.797939,-119.681067
40000644,BETHESDA LUTHERAN COMMUNITIES - HELM,(559)454-8514,36.726002,-119.722421
40000645,BETHESDA LUTHERAN COMMUNITIES - MITCHELL,(559) 299-5007,36.814136,-119.674448
40000646,BETHESDA LUTHERAN COMMUNITES - RICHERT,(559)292-3024,36.797021,-119.667768
40000647,BETHESDA LUTHERAN COMMUNITIES - ROGERS,(559) 323-7295,36.845942,-119.702712
40000648,BETHESDA LUTHERAN COMMUNITIES - DEWITT,(559) 323-8495,36.846669,-119.70617
40000650,MENDOTA FAMILY HEALTH CENTER,(559) 655-4211,36.756692,-120.381916
40000682,E.N.T. FACIAL SURGERY CENTER,(559) 432-3724,36.841337,-119.758755
40000697,"EVANGELHO, MICHAEL JOHN",(559) 436-8525,36.837205,-119.768527
40000721,"FOWLER MEDICAL CENTER, INC.",(559) 834-5341,36.630754,-119.678592
40000727,TAMARACK HOME,(209) 357-2212,37.358804,-120.60952
40000729,OUR HOUSE WESTGATE,(559) 661-8961,36.955964,-120.095489
40000738,WIGGINS HOME 2,(559) 783-1821,36.077971,-119.026367
40000750,HANFORD HEALTH CLINIC,(559) 584-4455,36.33554,-119.646071
40000751,JOHN C. FREMONT MEDICAL CLINIC,(209) 966-0850,37.499839,-119.976688
40000756,FAMILY HEALTH SERVICES ANNEX,(559) 673-5101,36.945406,-120.045684
40000769,"THOMPSON, CAROLINE",(559) 875-8736,36.799333,-119.556028
40000782,OUR HOUSE WILLIAMS,(559) 674-6456,36.95839,-120.078846
40000783,DELHI MEDICAL CLINIC,(209) 667-0702,37.429654,-120.775589
40000795,ADVENTIST HEALTH COMMUNITY CARE - PARLIER NEWMARK,(559) 646-1200,36.606387,-119.529883
40000817,"IMMEDIATE HEALTH CARE, RHC",(559) 896-6666,36.565624,-119.612822
40000823,CASA SAO MIGUEL,(559) 431-7719,36.830037,-119.81225
40000826,MADERA AMBULATORY ENDOSCOPY CENTER,(559) 673-4000,36.945548,-120.051594
40000833,CLAREMY HOUSE,(559)275-7715,36.785815,-119.88555
40000834,OUR HOUSE SUNSET,(559) 674-2239,36.956901,-120.086352
40000842,"LOYD'S LIBERTY HOMES, INC. - LIBERTY HOME",(559) 435-7103,36.817168,-119.848458
40000856,BUCKINGHAM HOME,(559) 375-1072,36.785069,-119.887538
40000857,HARMONY HOUSE,(559) 449-1668,36.82474,-119.809294
40000875,CASA SANTA MARIA,(559) 227-8748,36.801244,-119.795328
40000880,"WHITEHEAD, CHRIS",(559) 665-5436,37.121244,-120.273359
40000883,PORTLAND HOUSE,(559) 432-5025,36.855764,-119.780258
40000886,CASA FLORES,(559) 439-5140,36.830266,-119.770675
40000890,"PAUL A. GRIFFIN, M.D., C.F.P.C.",(559) 935-6600,36.151043,-120.337892
40000894,MERCED AMBULATORY ENDOSCOPY CENTER,(209) 384-3116,37.319153,-120.480615
40000902,11TH STREET CLINIC,(559) 637-8888,36.599189,-119.446833
40000905,DONNA DR./DAVIDSONS CHILDRENS HOME,(209) 722-9991,37.328484,-120.457711
40000918,ADVENTIST HEALTH COMMUNITY CARE - HANFORD,(559) 583-2100,36.335959,-119.646002
40000920,"LOYD'S LIBERTY HOMES, INC. - NORTH KNOLL",(559) 447-8568,36.823921,-119.860104
40000926,"KINGS EYE CENTER MEDICAL GROUP, INC.",(559) 585-3937,36.32801,-119.666818
40000940,MINARETS HOUSE,(559) 432-4207,36.842632,-119.812315
40000949,KAISER FOUNDATION HOSPITAL - FRESNO,(559) 448-4500,36.842312,-119.783187
40000952,MEMORIAL HOSPITAL LOS BANOS RURAL HEALTH CLINIC,(209) 826-0591,37.063476,-120.858086
40000954,OUR HOUSE BERRY,(559) 673-0819,36.953126,-120.094503
40000956,OUR HOUSE SHANNON,(559) 661-0426,36.959836,-120.085922
40000959,PEARL GATES HOME,(559) 638-6640,36.71522,-119.568658
40000978,WIGGINS HOME 1,(559) 783-0734,36.063619,-119.052077
40000992,COMMUNITY MEDICAL CENTER - OAKHURST,(559) 683-2992,37.327646,-119.660166
40001000,BETHESDA LUTHERAN COMMUNITIES - GATEWAY,(559) 299-7705,36.823387,-119.728496
40001011,WIGGINS HOME 3,(559) 783-0732,36.052922,-118.996778
40001016,PROVIDENT HEALTH CARE - WINDY GAP,(559) 683-8020,37.365259,-119.731596
40001032,"LOYD'S LIBERTY HOMES, INC. - EL PORTAL",(559) 451-0399,37.326275,-120.464779
40001033,"LOYD'S LIBERTY HOMES, INC. - COLUMBIA NORTH",(209) 726-6280,37.323822,-120.461797
40001040,WILLOW CREEK HEALTHCARE CENTER,(559) 323-6200,36.844803,-119.726111
40001058,VALLEY CHILDREN'S HOSPITAL - PSYCHOLOGY CLINIC,(559) 225-3000,36.884439,-119.800542
40001077,ALLEN-SPEES FAMILY HOME,(559) 432-3664,36.820196,-119.802172
